,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,2.090580316755631e-08,2.194876702090674e-09,1.2755750254060968e-09,2.4654411504236952e-09,5.468469347473095e-10
Fp2,3.0569832332429245e-08,2.337096326116106e-09,1.4433750999662789e-09,2.4551128548349607e-09,5.287329784576267e-10
F3,2.027895997933963e-08,2.1415478910260487e-09,1.2573344287610405e-09,2.5797227077864454e-09,6.361821890451493e-10
F4,1.948285143911072e-08,2.1227655298355617e-09,1.2890001349559837e-09,2.6255387891863932e-09,6.264032831461971e-10
C3,2.079335178093816e-08,1.7745009884372055e-09,1.0955094602454557e-09,2.3837027529452535e-09,6.112946409017628e-10
C4,2.026003039222396e-08,2.105981796765832e-09,1.1586418156035407e-09,2.285820583946674e-09,6.067226033941292e-10
P3,4.6586488093370044e-08,8.139893088490451e-09,2.196526827527038e-09,3.283316429151404e-09,7.133111068897177e-10
P4,2.6037500492110585e-08,2.3033084970507987e-09,1.2029722360172044e-09,2.3301631106724967e-09,5.507434231732576e-10
O1,1.2362376124632835e-07,2.4530074047519725e-08,1.863148270855314e-08,6.8709462058132535e-09,1.0365277469242576e-08
O2,5.644601536925458e-08,6.812007167803403e-09,2.825944491579267e-09,3.502018305814609e-09,9.71937585178563e-10
F7,2.01792768447348e-08,2.184416075112571e-09,1.2946287430188642e-09,2.408652120912031e-09,5.379235770643619e-10
F8,2.0606099834955552e-08,2.1939084425266865e-09,1.3033363384036721e-09,2.517278849777046e-09,5.976452575875099e-10
T3,2.0431833121076528e-08,2.277874383798237e-09,1.3170912232545015e-09,2.586089155631976e-09,6.554814727196589e-10
T4,2.0482955239819172e-08,2.172124383062836e-09,1.2696353421202534e-09,2.414465884940674e-09,5.915133335288399e-10
T5,3.716471140174258e-07,2.8949615341101383e-08,9.830529446467135e-09,6.487674274889126e-09,8.020231787053773e-09
T6,2.0516697564944784e-08,2.259916880636906e-09,1.325968763579403e-09,2.5363828069753783e-09,5.862683878941887e-10
Fz,2.2223139590641237e-08,2.458008239432289e-09,1.2437765084424704e-09,2.406360503646206e-09,5.42410833447574e-10
Cz,3.190428789686098e-08,2.375388140542663e-09,1.2981041870088873e-09,2.1198610558897316e-09,4.3754767178167855e-10
Pz,2.8428862146865843e-08,2.124631020247386e-09,1.2463593295257841e-09,2.4062598149347016e-09,5.416167162874429e-10
